timestamp,温度,湿度,光照
2026-06-08 08:00:00,22.0,65,0
2026-06-08 08:10:00,22.5,64,0
2026-06-08 08:20:00,23.0,63,0
2026-06-08 08:30:00,23.5,62,0
2026-06-08 08:40:00,24.0,61,0
2026-06-08 08:50:00,24.5,60,10
2026-06-08 09:00:00,25.0,58,50
2026-06-08 09:10:00,26.0,56,100
2026-06-08 09:20:00,27.0,54,200
2026-06-08 09:30:00,28.0,52,400
2026-06-08 09:40:00,29.0,50,800
2026-06-08 09:50:00,30.0,48,1500
2026-06-08 10:00:00,31.0,47,2000
2026-06-08 10:10:00,30.5,48,2500
2026-06-08 10:20:00,30.0,49,3000
2026-06-08 10:30:00,29.5,50,3500
2026-06-08 10:40:00,29.0,51,4000
2026-06-08 10:50:00,28.5,52,4200
2026-06-08 11:00:00,28.0,53,4500
2026-06-08 11:10:00,27.5,54,4800
2026-06-08 11:20:00,27.0,55,5000
2026-06-08 11:30:00,26.5,55,5200
2026-06-08 11:40:00,26.0,56,5400
2026-06-08 11:50:00,25.5,57,5500
2026-06-08 12:00:00,25.0,58,5600
2026-06-08 12:10:00,24.5,59,5500
2026-06-08 12:20:00,24.0,60,5300
2026-06-08 12:30:00,23.5,60,5000
2026-06-08 12:40:00,23.0,61,4500
2026-06-08 12:50:00,22.5,62,4000
2026-06-08 13:00:00,45.0,90,3500
2026-06-08 13:10:00,22.5,62,3000
2026-06-08 13:20:00,23.0,61,2500
2026-06-08 13:30:00,23.8,60,2000
2026-06-08 13:40:00,24.5,59,1500
2026-06-08 13:50:00,25.2,58,1000
2026-06-08 14:00:00,26.0,57,800
2026-06-08 14:10:00,27.0,55,600
2026-06-08 14:20:00,28.0,53,400
2026-06-08 14:30:00,29.0,51,300
2026-06-08 14:40:00,30.0,49,200
2026-06-08 14:50:00,31.0,47,150
2026-06-08 15:00:00,32.0,45,100
2026-06-08 15:10:00,31.5,46,80
2026-06-08 15:20:00,31.0,47,60
2026-06-08 15:30:00,30.5,48,40
2026-06-08 15:40:00,30.0,49,20
2026-06-08 15:50:00,29.5,50,10
2026-06-08 16:00:00,29.0,51,0
2026-06-08 16:10:00,28.5,52,0
2026-06-08 16:20:00,28.0,53,0
2026-06-08 16:30:00,27.5,54,0
2026-06-08 16:40:00,27.0,55,0
2026-06-08 16:50:00,26.5,56,0
2026-06-08 17:00:00,26.0,57,0
2026-06-08 17:10:00,25.5,58,0
2026-06-08 17:20:00,25.0,59,0
2026-06-08 17:30:00,24.5,60,0
2026-06-08 17:40:00,24.0,61,0
2026-06-08 17:50:00,23.5,62,0
